time,open_call,high_call,low_call,close_call,volume_call,open_put,high_put,low_put,close_put,volume_put,combined_premium,combined_volume
20251230  15:17:00,38.5,38.5,38.5,38.5,4,4.7,4.7,4.7,4.7,0,43.2,4
20251230  15:18:00,38.5,38.5,38.5,38.5,0,4.3,4.3,4.3,4.3,4,42.8,4
20251230  15:20:00,38.5,38.5,38.5,38.5,0,4.4,4.4,4.4,4.4,1,42.9,1
20251230  15:27:00,38.5,38.5,38.5,38.5,0,4.2,4.2,4.2,4.2,1,42.7,1
20251230  15:28:00,38.5,38.5,38.5,38.5,0,4.3,4.3,4.3,4.3,1,42.8,1
20251230  15:29:00,38.5,38.5,38.5,38.5,0,4.2,4.2,4.2,4.2,1,42.7,1
20251230  15:30:00,38.5,38.5,38.5,38.5,0,4.1,4.1,4.1,4.1,1,42.6,1
20251230  15:33:00,38.5,38.5,38.5,38.5,0,4.1,4.1,4.1,4.1,13,42.6,13
20251230  15:34:00,38.5,38.5,38.5,38.5,0,4.0,4.0,4.0,4.0,1,42.5,1
20251230  15:35:00,38.5,38.5,38.5,38.5,0,4.0,4.0,4.0,4.0,1,42.5,1
20251230  15:39:00,38.5,38.5,38.5,38.5,0,4.0,4.0,4.0,4.0,1,42.5,1
20251230  15:40:00,38.5,38.5,38.5,38.5,0,3.8,3.8,3.8,3.8,4,42.3,4
20251230  15:41:00,38.5,38.5,38.5,38.5,0,3.6,3.6,3.6,3.6,1,42.1,1
20251230  15:42:00,38.5,38.5,38.5,38.5,0,3.6,3.8,3.6,3.8,3,42.3,3
20251230  15:43:00,38.5,38.5,38.5,38.5,0,3.8,3.9,3.8,3.9,31,42.4,31
20251230  15:45:00,39.2,39.2,39.2,39.2,4,3.9,3.9,3.9,3.9,3,43.1,7
20251230  15:47:00,39.2,39.2,39.2,39.2,0,3.9,3.9,3.9,3.9,2,43.1,2
20251230  15:49:00,39.2,39.2,39.2,39.2,0,4.0,4.3,4.0,4.3,3,43.5,3
20251230  15:52:00,39.2,39.2,39.2,39.2,0,4.1,4.1,4.1,4.1,6,43.300000000000004,6
20251230  15:53:00,39.2,39.2,39.2,39.2,0,4.3,4.4,4.3,4.4,2,43.6,2
20251230  15:54:00,38.1,38.1,37.6,37.6,6,4.3,4.3,4.3,4.3,3,41.9,9
20251230  15:55:00,37.1,37.4,37.1,37.4,6,4.4,4.4,4.4,4.4,1,41.8,7
20251230  15:56:00,37.4,37.4,37.3,37.3,6,4.5,4.5,4.5,4.5,1,41.8,7
20251230  15:57:00,37.3,37.3,37.3,37.3,0,4.5,4.6,4.5,4.6,6,41.9,6
20251230  15:58:00,35.2,35.2,35.2,35.2,16,4.6,4.8,4.6,4.8,8,40.0,24
20251230  15:59:00,35.2,35.2,35.2,35.2,0,4.9,5.5,4.8,5.5,102,40.7,102
20251230  16:00:00,35.2,35.2,35.2,35.2,0,5.2,5.3,5.0,5.0,6,40.2,6
20251230  16:01:00,35.2,35.2,35.2,35.2,0,5.1,5.3,5.1,5.1,12,40.300000000000004,12
20251230  16:02:00,35.2,35.2,35.2,35.2,0,5.4,5.5,5.3,5.3,3,40.5,3
20251230  16:03:00,35.0,35.0,35.0,35.0,3,5.3,5.5,5.3,5.5,3,40.5,6
20251230  16:05:00,35.0,35.0,35.0,35.0,0,5.7,5.7,5.6,5.6,3,40.6,3
20251230  16:07:00,35.0,35.0,35.0,35.0,0,5.7,5.7,5.7,5.7,1,40.7,1
20251230  16:08:00,35.0,35.0,35.0,35.0,0,5.6,5.6,5.6,5.6,82,40.6,82
20251230  16:11:00,35.2,35.2,35.2,35.2,1,5.6,5.6,5.6,5.6,0,40.800000000000004,1
20251230  16:12:00,35.2,35.2,35.2,35.2,0,5.7,5.7,5.6,5.6,11,40.800000000000004,11
20251230  16:13:00,35.2,35.2,35.2,35.2,0,5.8,5.8,5.8,5.8,4,41.0,4
20251231  01:01:00,24.7,24.7,24.7,24.7,4,10.0,10.0,10.0,10.0,0,34.7,4
20251231  01:02:00,24.4,24.4,24.4,24.4,4,10.0,10.0,10.0,10.0,0,34.4,4
20251231  01:03:00,24.4,24.4,24.4,24.4,0,10.0,10.0,10.0,10.0,1,34.4,1
20251231  01:16:00,24.4,24.4,24.4,24.4,0,10.0,10.0,10.0,10.0,1,34.4,1
20251231  01:18:00,24.4,24.4,24.4,24.4,0,10.7,10.7,10.7,10.7,1,35.099999999999994,1
20251231  01:27:00,24.4,24.4,24.4,24.4,0,11.0,11.0,11.0,11.0,2,35.4,2
20251231  01:28:00,24.4,24.4,24.4,24.4,0,11.0,11.0,11.0,11.0,1,35.4,1
20251231  01:32:00,24.4,24.4,24.4,24.4,0,10.5,10.5,10.5,10.5,1,34.9,1
20251231  01:39:00,24.4,24.4,24.4,24.4,0,10.3,10.3,10.3,10.3,1,34.7,1
20251231  01:46:00,24.4,24.4,24.4,24.4,0,10.2,10.4,10.2,10.4,10,34.8,10
20251231  01:49:00,24.4,24.4,24.4,24.4,0,10.5,10.5,10.5,10.5,2,34.9,2
20251231  01:51:00,24.4,24.4,24.4,24.4,0,10.5,10.5,10.5,10.5,1,34.9,1
20251231  01:52:00,24.4,24.4,24.4,24.4,0,10.6,10.6,10.6,10.6,1,35.0,1
20251231  01:54:00,24.4,24.4,24.4,24.4,0,10.6,10.6,10.6,10.6,1,35.0,1
20251231  01:56:00,24.4,24.4,24.4,24.4,0,10.6,10.6,10.6,10.6,1,35.0,1
20251231  01:58:00,24.2,24.2,24.2,24.2,6,10.6,10.6,10.6,10.6,0,34.8,6
20251231  02:04:00,24.2,24.2,24.2,24.2,0,10.2,10.2,10.2,10.2,2,34.4,2
20251231  02:07:00,24.2,24.2,24.2,24.2,0,10.1,10.1,10.1,10.1,1,34.3,1
20251231  02:11:00,24.2,24.2,24.2,24.2,0,10.7,10.7,10.7,10.7,10,34.9,10
20251231  02:12:00,23.4,23.4,23.4,23.4,5,10.7,10.7,10.7,10.7,0,34.099999999999994,5
20251231  02:13:00,23.4,23.4,23.4,23.4,0,11.0,11.0,11.0,11.0,1,34.4,1
20251231  02:19:00,23.0,23.0,23.0,23.0,4,10.9,10.9,10.9,10.9,3,33.9,7
20251231  02:27:00,24.5,24.5,24.5,24.5,1,10.9,10.9,10.9,10.9,0,35.4,1
20251231  02:29:00,24.5,24.5,24.5,24.5,0,9.3,9.3,9.3,9.3,1,33.8,1
20251231  02:30:00,24.5,24.5,24.5,24.5,0,9.3,9.3,9.3,9.3,1,33.8,1
20251231  02:31:00,24.5,24.5,24.5,24.5,0,8.8,9.0,8.8,9.0,3,33.5,3
